name,item,party,partyLabel,area,areaLabel,position
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD,
AMASSOUMOU NDIFOANE,,Q953447,RDPC,Q351514,ADAMAOUA,
AMBASSA ZANG Dieudonné,,Q953447,RDPC,Q739951,CENTRE,
AMOUGO EKOMAN MARCEL D.,,Q953447,RDPC,Q857122,SUD,
AMOUGOU MEZANG NORBERT,,Q953447,RDPD,Q857122,SUD,
ASU Georges MBANDA,,Q953447,RDPC,Q607499,SUD OUEST,
ATEAWUNG FOJU Bernard,,Q953447,RDPC,Q607499,SUD OUEST,
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST,
AYAH Paul ABINE,,Q953447,RDPC,Q607499,SUD OUEST,
BADAMA Paul,,Q6979097,UNDP,Q823976,EXTREME NORD,
BANADZEM Joseph LUKONG,,Q1470113,SDF,Q823946,NORD OUEST,
BANGOUI BATADJOMO Gervais,,Q953447,RDPC,Q845168,EST,
BANMI Emmanuel DINGHA,,Q953447,RDPC,Q823946,NORD OUEST,
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA,
BASSA BOTIBA Florence Eugénie,,Q953447,RDPC,Q739951,CENTRE,
