name,item,party,partyLabel,area,areaLabel
ABAKAR MAHAMAT,,Q953447,RDPC,Q823976,EXTREME NORD
ABANDA METOGO VALERE,,Q953447,RDPC,Q739951,CENTRE
ABBA BOUKAR,,Q953447,RDPC,Q823976,EXTREME NORD
ABDOULAYE BOUGUE,,Q953447,RDPC,Q502341,NORD
ABUNAW Rose AGBOR,,Q953447,RDPC,Q607499,SUD OUEST
ADAMOU NDAM NJOYA,,Q3550257,UDC,Q165784,OUEST
ADJIBOLO Philémon,,Q953447,RDPC,Q845168,EST
AHMADOU BAKOURA,,Q953447,RDPC,Q502341,NORD
AKA AMUAM Joseph,,Q953447,RDPC,Q502341,NORD
ALAKE ATENGOUASSI Joseph,,Q953447,RDPC,Q739951,CENTRE
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD
ALIOUM Alhadji HAMADOU,,Q953447,RDPC,Q823976,EXTREME NORD
ALIYOUM FADIL,,Q953447,RDPC,Q502341,NORD
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD
AMASSOUMOU NDIFOANE,,Q953447,RDPC,Q351514,ADAMAOUA
AMOUGOU EKOMAN Marcel D.,,Q953447,RDPC,Q857122,SUD
AMOUGOU NKOLO Jean Pierre,,Q953447,RDPC,Q857122,SUD
AMOUGOU NOMA Nicolas,,Q953447,RDPC,Q739951,CENTRE
AMRAKAYE Martin,,Q953447,RDPC,Q823976,EXTREME NORD
ANDZE ANDZE Emile,,Q953447,RDPC,Q739951,CENTRE
ANYANGWE A. Christopher,,Q1470113,SDF,Q823946,NORD OUEST
ASSENE NKOU,,Q953447,RDPC,Q739951,CENTRE
ATEAWUNG FOJU Bernard,,Q953447,RDPC,Q607499,SUD OUEST
AVA AVA Joseph Emmanuel Christian,,Q953447,RDPC,Q739951,CENTRE
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST
AYAH Paul ABINE,,Q953447,RDPC,Q607499,SUD OUEST
AYUK ARREY Peter,,Q953447,RDPC,Q607499,SUD OUEST
BANADZEM Joseph LUKONG,,Q1470113,SDF,Q823946,NORD OUEST
BANGSI Emmanuel,,Q1470113,SDF,Q823946,NORD OUEST
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA
BATOUM Themotio,,Q953447,RDPC,Q845172,LITTORAL
BELONG Maurice,,Q953447,RDPC,Q845172,LITTORAL
BENAE Serge Gabriel,,Q953447,RDPC,Q857122,SUD
BILE BIDJANG Martin,,Q953447,RDPC,Q857122,SUD
BLAMA MALLA,,Q953447,RDPC,Q823976,EXTREME NORD
BOKWE Samuel NGOE,,Q953447,RDPC,Q607499,SUD OUEST
BOOTO A NGON André,,Q953447,RDPC,Q739951,CENTRE
BOUBA DJOULDE,,Q953447,RDPC,Q823976,EXTREME NORD
