name,item,party,partyLabel,area,areaLabel,position
ZA'ABE Janvier Sylver,,Q953447,RDPC,Q739951,CENTRE,
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST,
ZAM Jean Jacques Noel,,Q953447,RDPC,Q857122,SUD,
KAMSOULOUM ABBA Kabir,,Q953447,RDPC,Q823976,EXTREME NORD,
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,EXTREME NORD,
DATOUO Théodore,,Q1470113,SDF,Q165784,OUEST,
ZOUBAINATOU SALIHOU epse MOHAMADOU BASSIROU,,Q953447,RDPC,Q351514,ADAMAOUA,
DEFFO OUMBE SANGONG,,Q1470113,SDF,Q165784,OUEST,
KOMBO GBERI,,Q953447,RDPC,Q845168,EST,
EDIMO NDOUMBE Oscar,,Q1470113,SDF,Q845172,LITTORAL,
MBAH-ndam Joseph,,Q1470113,SDF,Q823946,NORD OUEST,
EDENA ENIH MBAH,,Q1470113,SDF,Q823946,NORD OUEST,
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q607499,SUD OUEST,
FOBI NCHINDA Simon,,Q1470113,SDF,Q823946,NORD OUEST,
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA,
