name,item,party,partyLabel,area,areaLabel
ABBA MALLA,,,ABBA,,MALLA
ABE Michael NDRA,,,ABE,,Michael NDRA
ABOMO FAMA MARGUERITE Aline,,,ABOMO,,FAMA MARGUERITE Aline
ABOUBAKAR IBRAHIM,,,ABOUBAKAR,,IBRAHIM
ADA OWONA épse NGUINI EFFA Marie Rose,,,ADA,,OWONA épse NGUINI EFFA Marie Rose
ADAMA épse DJIBRINE,,Q953447,RDPC,Q823976,EXTREME NORD
AHANDA ASSIGA Yves Martin,,,AHANDA,,ASSIGA Yves Martin
ALEH EYABI Clarah,,Q953447,RDPC,Q607499,SUD OUEST
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD
ALI BACHIR HAMADOU,,,ALI,,BACHIR HAMADOU
ALI MAMOUDA,,,ALI,,MAMOUDA
ALIYOUM FADIL,,,ALIYOUM,,FADIL
AMADOU ADJI,,Q6979097,UNDP,Q823976,EXTREME NORD
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD
AMINATOU,,,AMINATOU,,
ATANGANA ALIGUI Céline épse MENDOUA,,Q953447,RDPC,Q857122,SUD
ATEAWUNG FOJU Bernard,,Q953447,RDPC,Q607499,SUD OUEST
ATEWUNG FOJU Bernard,,Q953447,RDPC,Q857122,SUD
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST
BANADZEM Joseph LUKONG,,Q1470113,SDF,Q823946,NORD OUEST
BANLOG POLYCARPE,,,BANLOG,,POLYCARPE
BANMI Emmanuel DINGHA,,,BANMI,,Emmanuel DINGHA
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA
BAPOOH LIPOT Robert,,Q1860584,UPC,Q739951,CENTRE
BARA Julien,,,BARA,,Julien
BEKONO EBAH Pauline épse NDOUMOU,,Q953447,RDPC,Q857122,SUD
BELLO LIMANE,,,BELLO,,LIMANE
BILOA TSILLA ZITHA Marie Isabelle,,,BILOA,,TSILLA ZITHA Marie Isabelle
BOUBA Jean TAIDA,,,BOUBA,,Jean TAIDA
BOULOU GUIZI Joseph,,,BOULOU,,GUIZI Joseph
CAVAYE YEGUIE Djibril,,Q953447,RDPC,Q823976,EXTREME NORD
DAHIROU AHMADOU,,Q6979097,UNDP,Q351514,ADAMAOUA
DANATA paul,,,DANATA,,paul
DATOUO Théodore,,Q1470113,SDF,Q165784,OUEST
DEFFO OUMBE SANGONG,,Q1470113,SDF,Q165784,OUEST
DIMBELE BOUI,,,DIMBELE,,BOUI
DISSAKE née EKOKA Marguerite Hélène,,,DISSAKE,,née EKOKA Marguerite Hélène
DJIBRILA KAOU,,,DJIBRILA,,KAOU
DJOMGOUE Paul Eric,,Q953447,RDPC,Q739951,CENTRE
DOOH Collins Albert KOUOH,,Q953447,RDPC,Q845172,LITTORAL
DOPE Honorine épse ASSOGNOLEBOT,,,DOPE,,Honorine épse ASSOGNOLEBOT
DOUGOUF DJONKIO ALI,,Q953447,RDPC,Q823976,EXTREME NORD
DOUVAOUISSA AÏSSA HAMADI,,Q6979097,UNDP,,Nord
DZITE épse NGASSAM Thérèse,,Q953447,RDPC,Q165784,OUEST
EDENA ENIH MBAH,,Q1470113,SDF,Q823946,NORD OUEST
EDIMO NDOUMBE Oscar,,Q1470113,SDF,Q845172,LITTORAL
EKANGA ABATA Joachim,,Q953447,RDPC,Q845168,EST
ELOUNDOU Barnabé,,Q953447,RDPC,Q739951,CENTRE
EMABOT Brigitte,,Q953447,RDPC,Q165784,OUEST
EMAH ETOUNDI Vincent De Paul,,Q953447,RDPC,Q739951,CENTRE
ENOW TANDJONG,,Q953447,RDPC,Q607499,SUD OUEST
ENWE Francis ABI,,Q953447,RDPC,Q823946,NORD OUEST
EPONDO FOUDA Céline Marie,,Q953447,RDPC,Q739951,CENTRE
ESSAME Joseph Ernest Pierre,,Q953447,RDPC,Q845172,LITTORAL
ETOMBI BOLEVIE Gladys,,Q953447,RDPC,Q607499,SUD OUEST
ETONG NDZOK Hilarion,,Q953447,RDPC,Q739951,CENTRE
EYOUM MINONO épse EPOUBE Lydienne,,Q953447,RDPC,Q845172,LITTORAL
Elise NDONGO MOUTOME épse POKOSSY NDOUMBE,,Q953447,RDPC,Q845172,LITTORAL
FADIMATOU SAMBO,,Q953447,RDPC,Q502341,NORD
FEUTHEU Jean Claude,,Q953447,RDPC,Q165784,OUEST
FOBI NCHINDA Simon,,Q1470113,SDF,Q823946,NORD OUEST
FOSSI Jacob,,Q953447,RDPC,Q165784,OUEST
FOTSO Laure Pauline,,Q953447,RDPC,Q165784,OUEST
FOTSO née CHEBOU KAMDEM Faustine Villaneau,,Q953447,RDPC,Q165784,OUEST
FUSI NAAMUKONG Wilfried AZIYA,,Q1470113,SDF,Q823946,NORD OUEST
Fritz NGEKA ETOKE,,Q953447,RDPC,Q607499,SUD OUEST
GBAYANGA Robert,,Q953447,RDPC,Q845168,EST
GENESIS MBUCKSEK,,Q953447,RDPC,Q823946,NORD OUEST
GONDJI Elias,,Q953447,RDPC,Q823976,EXTREME NORD
GONONDO Jean,,Q953447,RDPC,Q823976,EXTREME NORD
HALIA MOUSSA MOUFTA,,Q953447,RDPC,Q351514,ADAMAOUA
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,EXTREME NORD
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD
IBRAHIMA DEWA,,Q953447,RDPC,Q351514,ADAMAOUA
IGELLE Elias ERHEMEN,,Q953447,RDPC,Q823946,NORD OUEST
JUIMO SIEWE MONTHE Claude,,Q953447,RDPC,Q165784,OUEST
Joshua NAMBANGI OSIH,,Q1470113,SDF,Q845172,LITTORAL
KAMSOULOUM ABBA Kabir,,Q953447,RDPC,Q823976,EXTREME NORD
KANKEU Joseph,,Q953447,RDPC,Q165784,OUEST
KEGNE MAFONG Joséphine épse FOTSO,,Q953447,RDPC,Q165784,OUEST
KOA Luc,,Q953447,RDPC,Q739951,CENTRE
KOA MFEGUE Laurentine épse MBEDE,,Q953447,RDPC,Q739951,CENTRE
KOMBA GASTON,,Q953447,RDPC,Q845172,LITTORAL
KOMBO GBERI,,Q953447,RDPC,Q845168,EST
KOUINCHE Albert,,Q953447,RDPC,Q165784,OUEST
KOULAGNA ABDOU,,Q953447,RDPC,Q351514,ADAMAOUA
KWARMBA Solange,,Q953447,RDPC,Q502341,NORD
KWEI Andrew MNGO,,Q953447,RDPC,Q823946,NORD OUEST
LAOUSSOU Pierre,,Q15195678,MDR,Q823976,EXTREME NORD
LISINGE Arthur EKEKE,,Q953447,RDPC,Q607499,SUD OUEST
MADIO GNITIDEM Odette Louise épse MELAGA,,Q953447,RDPC,Q165784,OUEST
