name,item,party,partyLabel,area,areaLabel
ABAKAR MAHAMAT,,Q953447,RDPC,Q823976,EXTREME NORD
ABBA BOUKAR,,Q953447,RDPC,Q823976,EXTREME NORD
ABBO André Théodore,,Q6979097,UNDP,Q351514,ADAMAOUA
ABBO MOHOMADOU,,Q6979097,UNDP,Q351514,ADAMAOUA
ABDOULAYE BOUGUE,,Q953447,RDPC,Q502341,NORD
ADAMA MODI,,Q953447,RDPC,Q823976,EXTREME NORD
ADAMOU NDAM NJOYA,,Q3550257,UDC,Q165784,OUEST
ADJI Marie-Paule,,Q6979097,UNDP,Q351514,Adamaoua
ADJIBOLO Philémon,,Q953447,RDPC,Q845168,EST
AKA AMUAM Joseph,,Q1470113,SDF,Q823946,Nord Ouest
AKONTEH Andrew BENGKAH BABILA,,Q1470113,SDF,Q823946,Nord Ouest
AKTAI ALAOU,,Q953447,RDPC,Q823976,EXTREME NORD
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD
AMBELA FOUMENA LOUIS,,Q953447,RDPC,Q739951,CENTRE
AMBOMBO NGA,,Q953447,RDPC,Q845172,Littoral
AMOUGOU NOMA Nicolas,,Q953447,RDPC,Q739951,Centre
AMVELA Dominique,,Q953447,RDPC,Q857122,Sud
ANDZE ANDZE Emile,,Q953447,RDPC,Q739951,Centre
ANOKE Gaston BERDIN,,Q953447,RDPC,Q845172,Littoral
AOUDOU DANG ASSABE,,Q953447,RDPC,Q351514,ADAMAOUA
ASAH Barnabas ASANE,,Q1470113,SDF,Q823946,Nord Ouest
ASU GEORGES MBANDA,,Q1470113,SDF,Q823946,Nord Ouest
ATANGANA MAZE Jean Alfred,,Q953447,RDPC,Q739951,Centre
AVA AVA Joseph Emmanuel c.,,Q953447,RDPC,Q739951,Centre
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,Nord Ouest
AYUKACHALE Peter EGBE,,Q953447,RDPC,Q607499,Sud Ouest
BAHOUNOUI BATENDE Léon,,Q953447,RDPC,Q739951,Centre
BAKARY DJALO,,Q953447,RDPC,Q502341,Nord
BALOULOGNOLI Maurice,,Q953447,RDPC,Q845168,Est
BANLOG Polycarpe,,Q953447,RDPC,Q845172,Littoral
BANSEKA Michael TAH,,Q1470113,SDF,Q823946,Nord Ouest
BAORO Théophile,,Q953447,RDPC,Q351514,Adamaoua
BASSA BOTIBA Florence Eugénie,,Q953447,RDPC,Q739951,Centre
BELLO BOUBA MAIGARI,,Q6979097,UNDP,Q502341,Nord
BENAE Serge Gabriel,,Q953447,RDPC,Q857122,Sud
BIWONGO née ASSOMBANG ATU'U M.L..,,Q953447,RDPC,Q857122,SUD
BLAMA MALLA,,Q953447,RDPC,Q823976,EXTREME NORD
BOL ALIMA Gibering,,Q953447,RDPC,Q739951,Centre
BOMOUKOU NKONO Réné,,Q6979097,UNDP,Q845168,Est
BOUBA SAMALI Bernard,,Q953447,RDPC,Q502341,Nord
BUNGONG JINKA Jonathan,,Q1470113,SDF,Q823946,Nord Ouest
CAVAYE YEGUIE Djibril,,Q953447,RDPC,Q823976,Extrême Nord
CHEMO SAMA EYIKESHI,,Q1470113,SDF,Q823946,NORD OUEST
CHIA EMMANUEL NGAM,,Q1470113,SDF,Q823946,NORD OUEST
DAKOLE DAISSALA,,Q15195678,MDR,Q823976,EXTREME NORD
DANATA PAUL,,Q953447,CPDM,Q845168,EaST
DEWA MOHAMAN,,Q953447,RDPC,Q502341,NORD
DIVAWOUI Benoît,,Q953447,RDPC,Q502341,Nord
DJAFAROU MOHAMADOU,,Q953447,CPDM,Q351514,Adamawa
DJAMARA LOURSANTOU,,Q953447,RDPC,Q823976,Extrême Nord
DOOH PRISO EMMANUEL,,Q953447,RDPC,Q845172,Littoral
EBAI John TONG,,Q1470113,SDF,Q607499,Sud Ouest
EBANGA EKATA GASTON,,Q953447,CPDM,Q857122,South
EFFOE Johnson VEKIMA,,Q1470113,SDF,Q607499,Sud Ouest
EFOUA MBOZO'O SAMUEL,,Q953447,RDPC,Q857122,SUD
EGBE BATUO Stephen,,Q953447,RDPC,Q607499,Sud Ouest
EKOUMOU EVOUNA,,Q953447,RDPC,Q739951,Centre
ETONG NDZOK Hilarion,,Q953447,RDPC,Q739951,Centre
ETOUKI MENKOUE,,Q953447,RDPC,Q845168,Est
ETOUNDI AYISSI FLORENT MESMIN,,Q953447,RDPC,Q739951,CENTRE
ETOUNDI NGOA Laurent,,Q953447,RDPC,Q739951,CENTRE
EYEBE LEBOGO Paul,,Q953447,RDPC,Q739951,Centre
EYombwan Brunot,,Q1470113,SDF,Q845172,Littoral
FETEKOUE MADE,,Q953447,RDPC,Q823976,Extrême Nord
FON DOH GAH GWANYIN III,,Q953447,RDPC,Q823976,Extrême Nord
FONING née TSOUBGNY NGUIAZONG Françoise,,Q953447,RDPC,Q845172,Littotal
FONSO Peter CHOO,,Q1470113,SDF,Q823946,Nord Ouest
FOPOUSSI EVARISTE,,Q1470113,SDF,Q165784,OUEST
FOUEDJEU PIERRE,,Q953447,RDPC,Q165784,OUEST
GAOU Andre,,Q953447,RDPC,Q823976,Extrême Nord
GODOM GADJERE Etienne,,Q953447,RDPC,Q823976,Extrême Nord
GOMBOL Félix,,Q953447,RDPC,Q823976,Extrême Nord
GONONDO Jean,,Q953447,RDPC,Q823976,Extrême Nord
GUYAT Emile AHMADOU,,Q953447,CPDM,Q823976,Far NORD
HAMADOU BOBODJI,,Q6979097,UNDP,Q351514,Adamaoua
HAMADOU MALLOUM,,Q6979097,UNDP,Q823976,EXTREME NORD
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,Extême Nord
HAMIDOU,,Q953447,RDPC,Q351514,Adamaoua
HAROUNA NYAKO,,Q953447,RDPC,Q502341,Nord
HELE Pierre,,Q6979097,UNDP,Q823976,Extrême Nord
JUA Paulinus TOH,,Q1470113,SDF,Q823946,Nord Ouest
KACK KACK Etienne Gérard,,Q953447,RDPC,Q739951,Centre
KALVOKSOU RIGOBERT,,Q953447,CPDM,Q823976,Far NORTH
KAMSSOULOUM ABBA HABIR,,Q953447,RDPC,Q823976,EXTREME NORD
KENFACK Christophe,,Q953447,RDPC,Q165784,Ouest
KENMOGNE Yvette Claudine,,Q953447,RDPC,Q739951,Centre
KERBAI LAOUKOURA Jean,,Q953447,RDPC,Q502341,Nord
KEYANFE Jean Robert,,Q1470113,SDF,Q165784,Ouest
KOAH SONGO Gabriel,,Q953447,CPDM,Q739951,Centre
KODOCK Augustin Fréderick,,Q1860584,UPC,Q739951,Centre
KONGLIMNYUY Joseph KWI,,Q1470113,SDF,Q823946,Nord Ouest
KUBUKU C.OYONG,,Q953447,RDPC,Q607499,Sud Ouest
KWEMO Pierre,,Q1470113,SDF,Q165784,Ouest
Kdji Jean Patrice,,Q1470113,SDF,Q845172,Littoral
LEBOGO BESSALA Longin,,Q953447,RDPC,Q739951,Centre
LONGTCHI Abenicot,,Q1470113,SDF,Q845172,Littoral
MAKA Daniel,,Q953447,RDPC,Q845172,Littoral
MAMOUDOU ABDOURAMANI,,Q6979097,UNDP,Q823976,Extrême Nord
MANAMOUROU épse SILIKAM,,Q953447,RDPC,Q823976,EXTREME NORD
MANDENG AMBASSA Patrice,,Q953447,RDPC,Q739951,Centre
MBAH NDAM Joseph NJANG,,Q1470113,SDF,Q823946,Nord Ouest
MBANG Reuben AWUH,,Q1470113,SDF,Q823946,Nord Ouest
MBARGA MVONDO Jean Albert,,Q953447,RDPC,Q857122,Sud
MBIAM Emmanuel,,Q953447,RDPC,Q857122,Sud
MBINKAR NGONG Michael,,Q1470113,SDF,Q823946,Nord ouest
MENGOLO AVOMO Raymond,,Q953447,RDPC,Q857122,Sud
MESSEBE ABENG Prosper,,Q953447,RDPC,Q739951,Centre
MOKUBE Martin MASSA,,Q953447,RDPC,Q607499,Sud Ouest
MONGKUO NGUPEPONG Laurence,,Q1470113,SDF,Q165784,Ouest
MONTHE NKOUOBITE Jean,,Q1470113,SDF,Q165784,west
MOSAKI Elias NJIO,,Q953447,RDPC,Q607499,Sud Ouest
MOUATONG MOUATONG,,Q1470113,SDF,Q845172,Littoral
MOUKOURI DINA MANGA Bell Charles,,Q1470113,SDF,Q845172,Littoral
MOULIOM MAH ISSA,,Q3550257,UDC,Q845172,Littoral
MUKETE Abel,,Q953447,RDPC,Q607499,Sud Ouest
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,Sud
NAJEME Samy NJUMBE EKEMA,,Q953447,RDPC,Q607499,Sud Ouest
NAMATA EWANGA Ebenezer,,Q953447,CPDM,Q607499,South west
NAMONGO NDELEY Benedict,,Q953447,RDPC,Q607499,Sud Ouest
NANA HAMADOU,,Q6979097,UNDP,Q351514,Adamaoua
NASSOUROU HAMADOU,,Q953447,RDPC,Q823976,Extrême Nord
NCHARRO MAMA,,Q3550257,UDC,Q165784,Ouest
NDANGA NDINGA Badel,,,,,
NDOBEGANG Michael MBAPNDAH,,Q1470113,SDF,Q607499,Sud Ouest
NDOGMO Jean,,Q1470113,SDF,Q165784,west
NGNIMAN Zacharie,,Q953447,RDPC,Q351514,Adamaoua
NGOLLO NGAMA NGOLLO Emmanuel,,Q953447,RDPC,Q845172,Littoral
NGOUNG Jean,,Q953447,RDPC,Q845168,Est
NGUENEVIT,,Q1470113,SDF,Q165784,Ouest
NGUIZAYE NDEKONE,,Q953447,RDPC,Q823976,Extrême Nord
NJIFAKO YAKA Simon NJUTAPMVOUI,,Q3550257,UDC,Q165784,Ouest
NJIFAN TAWO Moise ZOLA,,Q3550257,UDC,Q165784,Ouest
NJOH MOUELLE Ebenezer,,Q953447,RDPC,Q845172,Littoral
NKODO BALA Max,,Q953447,RDPC,Q845172,Littoral
NKOLO MAMA Pierre Damien,,Q953447,RDPC,Q739951,Centre
NNANGA NDOUME Etienne,,Q953447,RDPC,Q857122,Sud
NNEMDE Emmanuel,,Q953447,RDPC,Q739951,Centre
NOAH Simon Chrysogone Jean,,Q953447,RDPC,Q739951,Centre
NOUMBA Serge Siméon,,Q1470113,SDF,Q165784,West
NSOH ZAMCHO Clément,,Q1470113,SDF,Q823946,Nord Ouest
NTSIMI MENYE Antoine Louis Marie,,Q953447,RDPC,Q739951,Centre
NTSOGO BEYEME Salomé,,Q953447,RDPC,Q739951,Centre
NYASSA Louis Claude,,Q953447,RDPC,Q739951,Centre
NYOBE MANGOG Philippe,,Q953447,RDPC,Q739951,Centre
NZUOBONTANE Andrew NGABE,,Q953447,RDPC,Q607499,Sud Ouest
ONANA OWONA Isidore,,Q953447,RDPC,Q739951,Centre
OUETCHOUA Macias,,Q1470113,SDF,Q165784,Ouest
OUSMANOU TOUMBA,,Q953447,RDPC,Q823976,Extrême Nord
OYIE NDZIE née NTSAMA Marie T.,,Q953447,RDPC,Q857122,Sud
PATEHALE Jean Claude,,Q953447,RDPC,Q502341,Nord
PENNE Robert,,Q953447,RDPC,Q845168,Est
SAKATAI Claude,,Q953447,RDPC,Q823976,Extrême Nord
SALE Charles,,Q953447,RDPC,Q845168,Est
SALY ABDOURAHMAN ABBASSI,,,NUDP,Q502341,Nord
SHEY NDZE Sammy,,Q1470113,SDF,Q823946,Nord Ouest
SIMO Emmanuel,,Q1470113,SDF,Q165784,Ouest
SIYAM SIEWE Alphonse,,Q953447,RDPC,Q165784,Ouest
SOULEYMANOU SALI,,Q953447,RDPC,Q502341,Nord
TADONKENG Maurice,,Q1470113,SDF,Q165784,Ouest
TANSAH Jones NDZIE,,Q1470113,SDF,Q823946,Nord Ouest
TASI NTANG Lucas,,Q1470113,SDF,Q823946,Nord Ouest
TCHANA MESACK,,Q953447,RDPC,Q165784,Ouest
TCHATCHOUANG Paul,,Q1470113,SDF,Q165784,Ouest
TCHOUA Jean Pierre,,Q1470113,SDF,Q845172,Littoral
TCHOUTA MOUSSA MBATKAM Jean,,Q953447,RDPC,Q165784,Ouest
TCHUENKAM,,Q1470113,SDF,Q165784,west
TESSUE Daniel,,Q1470113,SDF,Q165784,Ouest
TIANI YUINANG Fidèle,,Q953447,RDPC,Q845172,Littoral
TJOUES née HANGLOP Généviève.,,Q953447,RDPC,Q845172,Littoral
TOBBO EYOUM Thomas,,Q953447,RDPC,Q845172,Littoral
TOMEDI NDANDO Victoria,,Q1470113,SDF,Q607499,Sud Ouest
TSITSOL Louis Philippe,,Q953447,RDPC,Q845168,Est
TSOMELOU Jean,,Q1470113,SDF,Q165784,Ouest
YONDO Marcel,,,MLDC,Q845172,Littoral
YOYO MOHMBANKAH Emmanuel,,Q1470113,SDF,Q823946,Nord Ouest
ZAORO ADAMOU Samuel,,Q953447,RDPC,Q845168,Est
ZIMRI Jean Baptiste,,Q953447,RDPC,Q823976,EXTREME NORD
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,Extrême Nord
