name,item,party,partyLabel,area,areaLabel
ABAKAR MAHAMAT,,Q953447,RDPC,Q823976,EXTREME NORD
ABBA MALLA BOUKAR,,Q953447,RDPC,Q823976,EXTREME NORD
ABDOU KIDANTANG,,Q953447,RDPC,Q823976,EXTREME NORD
ABDOUL-KADRI BELLO,,Q953447,RDPC,Q351514,ADAMAOUA
ABDOULAYE BOUGUE,,Q953447,RDPC,Q502341,NORD
ABUNAW Rose MAKIA AGBOR,,Q953447,RDPC,Q607499,SUD OUEST
ADAMA MODI,,Q953447,RDPC,Q823976,EXTREME NORD
ADAMOU SAIDOU,,Q953447,RDPC,Q502341,NORD
ADJIBOLO Philémon,,Q953447,RDPC,Q845168,EST
AHIDJO MOHAMADOU,,Q6979097,UNDP,Q502341,NORD
AKAMBA ASSEMBE Pierre Georges,,Q953447,RDPC,Q739951,CENTRE
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD
ALI MAMOUDA,,Q953447,RDPC,Q502341,NORD
ALIYOUM FADIL,,Q953447,RDPC,Q502341,NORD
AMADOU ADJI,,Q6979097,UNDP,Q823976,EXTREME NORD
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD
AMASSOUMOU NDIFOANE,,Q953447,RDPC,Q351514,ADAMAOUA
AMBASSA ZANG Dieudonné,,Q953447,RDPC,Q739951,CENTRE
AMOUGO EKOMAN MARCEL D.,,Q953447,RDPC,Q857122,SUD
AMOUGOU MEZANG NORBERT,,Q953447,RDPD,Q857122,SUD
ASU Georges MBANDA,,Q953447,RDPC,Q607499,SUD OUEST
ATEAWUNG FOJU Bernard,,Q953447,RDPC,Q607499,SUD OUEST
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST
AYAH Paul ABINE,,Q953447,RDPC,Q607499,SUD OUEST
BADAMA Paul,,Q6979097,UNDP,Q823976,EXTREME NORD
BANADZEM Joseph LUKONG,,Q1470113,SDF,Q823946,NORD OUEST
BANGOUI BATADJOMO Gervais,,Q953447,RDPC,Q845168,EST
BANMI Emmanuel DINGHA,,Q953447,RDPC,Q823946,NORD OUEST
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA
BASSA BOTIBA Florence Eugénie,,Q953447,RDPC,Q739951,CENTRE
BATIKBONAK Jean-Marie,,Q953447,RDPC,Q739951,CENTRE
BOKWE Samuel NGOE,,Q953447,RDPC,Q607499,SUD OUEST
BOTOULI Née BIANG Paulette,,Q953447,RDPC,Q857122,SUD
BOUBA André,,Q953447,RDPC,Q502341,NORD
BOULOU NGUIZI Joseph,,Q953447,RDPC,Q823976,EXTREME NORD
BOUOBDA,,Q953447,RDPC,Q165784,OUEST
BUJUNG BEDE James,,Q1470113,SDF,Q823946,NORD OUEST
CAVAYE YEGUIE DJIBRIL,,Q953447,RDPC,Q823976,EXTREME NORD
DANATA Paul,,Q953447,RDPC,Q845168,EST
DATOUO Théodore,,Q953447,RDPC,Q165784,OUEST
DJAMARA LOURSANTOU,,Q953447,RDPC,Q823976,EXTREME NORD
DJIBRILLA KAW BAKARY,,Q953447,RDPC,Q823976,EXTREME NORD
DJOMGUE Paul Eric,,Q953447,RDPC,Q739951,CENTRE
DOOH Collins Albert KOUOH,,Q953447,RDPC,Q845172,Littoral
DOUGOUF DJONKIO Ali,,Q953447,RDPC,Q823976,EXTREME NORD
EDIMO NDOUMBE Oscar,,Q953447,RDPC,Q845172,LITTORAL
EKEN Christophe,,Q953447,RDPC,Q165784,OUEST
EKINDI Jean-Jacques,,,MP,Q845172,LITTORAL
EKOUE Bienvenue,,Q953447,RDPC,Q845172,LITTORAL
ELIAS GONDJI,,Q953447,RDPC,Q823976,EXTREME NORD
EMAH ETOUNDI Vincent de Paul,,Q953447,RDPC,Q739951,CENTRE
EMAMA Marius,,Q953447,RDPC,Q845168,EST
ENWE Francis ABI,,Q953447,RDPC,Q823946,NORD OUEST
EONE Jean,,Q953447,RDPC,Q739951,CENTRE
EPOUBE Lydienne née EYOUM M.,,Q953447,RDPC,Q845172,LITTORAL
ESSAME François,,Q953447,RDPC,Q857122,SUD
ESSOLA ETOA Louis Roger,,Q953447,RDPC,Q845168,EST
ETONG NDZOK Hilarion,,Q953447,RDPC,Q739951,CENTRE
EYEBE Lucas,,Q953447,RDPC,Q739951,CENTRE
FEUTHEU Jean Claude,,Q953447,RDPC,Q165784,OUEST
FOBI NCHINDA Simon,,Q1470113,SDF,Q823946,NORD OUEST
FOINDING Calvin,,Q953447,RDPC,Q165784,OUEST
FONGANG Joseph Confiance,,Q953447,RDPC,Q165784,OUEST
FONSO Peter CHOO,,Q1470113,SDF,Q823946,NORD OUEST
FOSSI JACOB,,Q953447,RDPC,Q165784,OUEST
FUH CALISTUS Gentry,,Q953447,RDPC,Q823946,NORD OUEST
GONONDO Jean,,Q953447,RDPC,Q823976,EXTREME NORD
Genesis MBUCKSEK,,Q953447,RDPC,Q823946,NORD OUEST
HALIA Moussa MOUFTA,,Q953447,RDPC,Q351514,ADAMAOUA
HAMADAMA DJIDJIOUA,,Q953447,RDPC,Q351514,ADAMAOUA
HAMADOU ALI BACHIR,,Q953447,RDPC,Q351514,ADAMAOUA
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,EXTREME NORD
HAMATOUKOUR BOBBO,,Q953447,RDPC,Q351514,ADAMAOUA
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD
IBRAHIM Antoine Désiré,,Q953447,RDPC,Q845168,EST
IBRAHIM DEWA,,Q953447,RDPC,Q351514,ADAMAOUA
ITOE William EBEKU,,Q953447,RDPC,Q607499,SUD OUEST
KALBASSOU Daniel,,Q953447,RDPC,Q823976,EXTREME NORD
KAMSSOULOUM ABBA KABIR,,Q953447,RDPC,Q823976,EXTREME NORD
KANGA Jean-Jacques,,Q953447,RDPC,Q165784,OUEST
KEGNE M. Joséphine ép. FOTSO,,Q953447,RDPC,Q165784,OUEST
KERBAI LAOUKOURA Jean Marie,,Q953447,RDPC,Q502341,NORD
KETCHA Jean,,Q953447,RDPC,Q165784,OUEST
KETCHANGA Célestin,,Q953447,RDPC,Q845172,LITTORAL
KOA Luc,,Q953447,RDPC,Q739951,CENTRE
KOAH SONGO Gabriel,,Q953447,RDPC,Q739951,CENTRE
KOMBA Gaston,,Q953447,RDPC,Q845172,LITTORAL
KOMBO GBERI,,Q953447,RDPC,Q845168,EST
KOUPENJU Simon,,Q3550257,UDC,Q165784,OUEST
KWEI Andrew MNGO,,Q953447,RDPC,Q823946,NORD OUEST
LEKENE DONFACK,,Q953447,RDPC,Q165784,OUEST
LIBOCK Jean Calvin,,Q953447,RDPC,Q739951,CENTRE
LYONGA Rachel C. née EPOUPA,,Q953447,RDPC,Q607499,SUD OUEST
MAKEMBE BEBEY Emmanuel,,Q953447,RDPC,Q845172,LITTORAL
MAMIGUE Jean,,Q953447,RDPC,Q823976,EXTREME NORD
MANFOUO David,,Q953447,RDPC,Q165784,OUEST
MATSANG SEYI Mama,,Q953447,RDPC,Q739951,CENTRE
MATTA Joseph Roland,,Q953447,RDPC,Q845168,EST
MBAH NDAM Joseph NJANG,,Q1470113,SDF,Q823946,NOR OUEST
MBALLA AMBASSA Laurent G.,,Q953447,RDPC,Q739951,CENTRE
MBAPTE Jean-Baptiste,,Q953447,RDPC,Q845172,LITTORAL
MBE ASSAE MENDOMO Théodore A.,,Q953447,RDPC,Q857122,SUD
MBIAM Emmanuel,,Q953447,RDPC,Q857122,SUD
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL
MBOYA MBANGUE Jacob,,Q953447,RDPC,Q607499,SUD OUEST
MEBANDE B. ép. ABDOULBAGUI,,Q953447,RDPC,Q845168,EST
MELAGA Odette,,Q953447,RDPC,Q165784,OUEST
MENDOUA née ATANGANA A.C.C,,Q953447,RDPC,Q857122,SUD
MGBATOU Pierre,,Q953447,RDPC,Q739951,CENTRE
MOAKEYA Odile Solange,,Q953447,RDPC,Q845168,EST
MOHAMADOU GASSIMOU,,Q953447,RDPC,Q502341,NORD
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q165784,OUEST
MOUTYMBOU Rosette J. p AYAYI,,Q953447,RDPC,Q845172,LITTORAL
MPACKO KOTTO Jean-Claude,,Q953447,RDPC,Q845172,LITTORAL
MUBUN NTAM James,,Q1470113,SDF,Q823946,NORD OUEST
MUNCHIPOU YACOUBA,,Q3550257,UDC,Q165784,OUEST
MUYALI BOYA Mary ép. MEBOKA,,Q953447,RDPC,Q607499,SUD OUEST
MVINDI OBAMA Gaston,,Q953447,RDPC,Q739951,CENTRE
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,SUD
N'NOLO Marie S. ép. ONOBIONO,,Q953447,RDPC,Q739951,CENTRE
NASELI Emmanuel SAKO,,Q953447,RDPC,Q165784,OUEST
NDI François,,Q953447,RDPC,Q857122,SUD
NDONGO ESSOMBA Jean-Bernard,,Q953447,RDPC,Q739951,CENTRE
NDONO MBANGA,,Q953447,RDPC,Q845172,LITTORAL
NDOUMOU Pauline,,Q953447,RDPC,Q857122,SUD
NGAH KOUMBA Jean-Marie,,Q953447,RDPC,Q739951,CENTREL
NGALA Esther NTALA,,Q1470113,SDF,Q823946,NORD OUEST
NGALE Adolf NAMME,,Q953447,RDPC,Q607499,SUD  OUEST
NGONO Guy Parfait,,Q953447,RDPC,Q739951,CENTRE
NGORAN Lawrence TONDZE,,Q1470113,SDF,Q823946,NORD OUEST
NGUINI EFFA Marie-Rose,,Q953447,RDPC,Q739951,CENTRE
NIKINA Pierre,,Q953447,RDPC,Q823976,EXTREME NORD
NINTCHEU Jean-Michel,,Q1470113,SDF,Q845172,LITTORAL
NJI Fidelis MUH ZIAH,,Q953447,RDPPC,Q823946,NORD OUEST
NJINGUM Musa MBUTOH,,Q953447,RDPPC,Q823946,NORD OUEST
NJOCKE Abel Calvin,,Q953447,RDPPC,Q845172,LITTORAL
NJONG Evaristus NDIM,,Q1470113,SDF,Q823946,NORD OUEST
NKELE PALMY William MBOE,,Q1470113,SDF,Q607499,SUD OUEST
NKEMBENG Edward,,Q1470113,SDF,Q845172,LITTORAL
NKODO DANG Roger,,Q953447,RDPC,Q739951,CENTRE
NKOLO MENYE Hubert,,Q953447,RDPC,Q739951,CENTRE
NLEND Albert,,Q953447,RDPC,Q845172,LITTORAL
NNOMO BENGONO Joseph C.,,Q953447,RDPC,Q739951,CENTRE
NOUMBA Serges Siméon,,Q1470113,SDF,Q165784,OUEST
NSA Moussa,,Q953447,RDPC,Q165784,OUEST
NYINDI Henriette F. ép. ELOUNA,,Q953447,RDPC,Q739951,CENTRE
NZUOBONTANE Andrew NGABE,,Q953447,RDPC,Q607499,SUD OUEST
OBENOFUNDE Moses BESONG,,Q953447,RDPC,Q607499,SUD OUEST
ONDIGUI THADDEUS,,Q953447,RDPC,Q739951,CENTRE
OWONA KONO Joseph Hyacinthe,,Q953447,RDPC,Q845172,LITTORAL
OYONO Martin,,Q953447,RDPC,Q857122,SUD
PEYIPAHOUO Riratou,,Q3550257,UDC,Q165784,OUEST
Paul NJI TUMASANG,,Q1470113,SDF,Q823946,NORD OUEST
RAMADAN Fils de CHETIMA OUMAR,,Q953447,RDPC,Q823976,EXTREME NORD
SADJO DAOUDA,,Q953447,RDPC,Q502341,NORD
