name,item,party,partyLabel,area,areaLabel,position
AMBOMBO NGA,,Q953447,RDPC,Q845172,Littoral,
AMOUGOU NOMA Nicolas,,Q953447,RDPC,Q739951,Centre,
AMVELA Dominique,,Q953447,RDPC,Q857122,Sud,
ANDZE ANDZE Emile,,Q953447,RDPC,Q739951,Centre,
ANOKE Gaston BERDIN,,Q953447,RDPC,Q845172,Littoral,
AOUDOU DANG ASSABE,,Q953447,RDPC,Q351514,ADAMAOUA,
ASAH Barnabas ASANE,,Q1470113,SDF,Q823946,Nord Ouest,
ASU GEORGES MBANDA,,Q1470113,SDF,Q823946,Nord Ouest,
ATANGANA MAZE Jean Alfred,,Q953447,RDPC,Q739951,Centre,
AVA AVA Joseph Emmanuel c.,,Q953447,RDPC,Q739951,Centre,
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,Nord Ouest,
AYUKACHALE Peter EGBE,,Q953447,RDPC,Q607499,Sud Ouest,
BAHOUNOUI BATENDE Léon,,Q953447,RDPC,Q739951,Centre,
BAKARY DJALO,,Q953447,RDPC,Q502341,Nord,
BALOULOGNOLI Maurice,,Q953447,RDPC,Q845168,Est,
